year,title,composer,writer,singer,spotify_id,youtube_urL??,lyrics,theme/genre
1985,Stand Up for Singapore,Hugh Harrison,Hugh Harrison,,2aIkiuxUesXTGU756fBJYD,https://youtu.be/ZzS5rPaZW9w,"Stand up for Singapore, do the best you can
 Reach out for your fellow man
 You've got to make a stand
 Recognise you can play your part
 Let it come right from your heart
 Be prepared to give a little more
 Stand up, stand up for Singapore
 
 Stand up for Singapore, do it with a smile
 If you stand up for Singapore
 You'll find it all worthwhile
 Believe in yourself, you've got something to share
 So show us all you really care
 Be prepared to give a little more
 Stand up, stand up for Singapore
 
 Singapore our home and nation
 Together with determination
 Join in like we've never done before
 Stand up, stand up for Singapore","25 Years of Nation Building, 1959–1984
Patriotic and full of gusto , this is one song created to promote the idea of Nationalism. The song was part of a larger campaign conceived by advertising agency McCann-Erickson in celebration of Singapore’s 25 years of self-government.6 At the time, songs were also used by the government to promote campaigns such as Total Defence and energy-saving.

"
1986,"Count on Me, Singapore",Hugh Harrison,Hugh Harrison,Clement Chow,3dY7P7YoGU0gYMmFs1krC1,"https://www.youtube.com/watch?v=vfJCPpFTCTY 
 https://www.youtube.com/watch?v=L_a622n3v2I","We have a vision for tomorrow, just believe, just believe
 We have a goal for Singapore, we can achieve, we can achieve
 You and me, we'll do our part, stand together, heart to heart
 We're going to show the world what Singapore can be
 We can achieve, we can achieve
 
 There is something down the road that we can strive for
 We are told no dream's too bold that we can't try for
 There's a spirit in the air, it's a feeling we all share
 We're going to build a better life, for you and me
 We can achieve, we can achieve
 
 Count on me Singapore, count on me to give my best and more
 You and me, we'll do our part, stand together, heart to heart
 We're going to show the world what Singapore can be
 We can achieve, we can achieve
 
 Chorus:
 Count on me Singapore, Count on me Singapore
 Count on me to give my best and more, count on me Singapore
 
 (Repeat Chorus)
 
 Together Singapore Singapore (X 2)",A less mellow tune but the same nationalistic pride is infused in the song
1987,We are Singapore,Hugh Harrison,Hugh Harrison,"Jonathan Tan Teck Meng, Roslinda Baharudin, Robert Fernando and Anne Weerapass",0QeDK7Aow84hUKoLrZ1mvK,https://youtu.be/cts6ssZ_8mw,"There was a time when people said
 That Singapore won't make it, but we did
 There was a time when troubles seemed too much
 For us to take, but we did
 We built a nation, strong and free, reaching out together
 For peace and harmony
 
 Chorus 1:
 This is my country, this is my flag
 This is my future, this is my life
 This is my family, these are my friends
 We are Singapore, Singaporeans
 
 Singapore our homeland, it's here that we belong
 All of us united, one people marching on
 We've come so far together, our common destiny
 Singapore forever, a nation strong and free
 
 (Repeat Chorus 1)
 
 (Sung)
 We the citizens of Singapore
 Pledge ourselves as one united people
 Regardless of race, language or religion
 To build a democratic society
 Based on justice and equality
 So as to achieve happiness
 Prosperity and progress for our nation
 
 Chorus 2:
 We are Singapore, we are Singapore
 We will stand together, hear the lion roar
 We are Singapore, we are Singapore
 We're a nation strong and free forevermore
 
 (Repeat Chorus 1 & 2)
 
 We are Singapore, Singaporeans (X 2)","This song includ quotes from 1966 speech by then PM Lee kuan Yew to school principals: ""This is my country, this is my flag; this is my president, this is my future. I am going to protect it.""
http://www.nas.gov.sg/archivesonline/data/pdfdoc/lky19660829.pdf"
1990,"One People, One Nation, One Singapore",Jeremy Monteiro,"Jim Aitchison
who was also from the advertising industry and author of Mr Midnight",,0NsXuk0c78hzZkDr7UsIJ3,https://www.youtube.com/watch?v=piF_2PQSkBM,"We've built a nation with our hands
 The toil of people from a dozen lands
 Strangers when we first began, now we're Singaporean
 Let's reach out for Singapore, join our hands forevermore
 
 Chorus: One people, one nation, one Singapore That's the way that we will be forevermore Every creed and every race, has its role and has its place One people, one nation, one Singapore And when the time comes for the test Our vigilance will never rest We'll be united, hand in hand We'll show the world just where we stand And reach out for Singapore, join our hands forevermore ( Repeat Chorus x 2 )",It focused on building a nation and staying as one
1998,Home,Dick Lee,Dick Lee,Kit Chan,1vo8399T9sWFZ9vbrEcTL5,https://youtu.be/JOc1RGkBviQ,"Whenever I am feeling low
 I look around me and I know
 There's a place that will stay within me
 Wherever I may choose to go
 I will always recall the city
 Know every street and shore
 Sail down the river which brings us life
 Winding through my Singapore
 
 Chorus: This is home truly, where I know I must be Where my dreams wait for me, where that river always flows This is home surely, as my senses tell me This is where I won't be alone, for this is where I know it's home When there are troubles to go through We'll find a way to start anew There is comfort in the knowledge That home's about its people too So we'll build our dreams together Just like we've done before Just like the river which brings us life There'll always be Singapore ( Repeat Chorus ) For this is where I know it's home For this is where I know I'm home","Traditional national day songs are about nation-building, where society comes together, Home addresses the person. One of the elements that really drives Home is its lyrics and feel, which conveys homesickness.
First National Day tune that featured a mandarin version"
1999,Together,Ken Lim,Ken Lim,Evelyn Tan and Dreamz FM,6lago1vFsu3gw26lgKGtwa,https://www.youtube.com/watch?v=ppsWViFxVSQ,"Let us be together aspire to achieve
 No matter what, no matter when, working hand in hand
 Let us go the distance, reach for goals that shine
 Creating our future, with everyone in mind
 
 Together we make a difference, one voice, one destiny
 We remain undivided, our hearts in harmony
 Together we make a difference, our friends, our families
 We will share a special dream, together we feel the Singapore heartbeat
 
 Let us find in our strides, new strength to go on by
 Nothing is ever easy, we have to hold on and strive
 Let us never be afraid, if we have to change our ways
 Through the years, we'll always stay, one in every way
 
 We will share a special dream
 Together we feel the Singapore heartbeat
 Singapore heartbeat",This song is about making a difference with the people we love for Singapore. 
2000,Shine on Me,Jim Lim,Jim Lim,Mavis Hee and Jai Wahab,1PBxQWuUn6RFzsg30gNH0H,https://youtu.be/RV9JWZ2w4Q4,"The moment when I was born
 Into this world, into my home
 I recall when I was young
 Stars and Crescent shine on me
 
 In my heart lies my homeland
 I share this joy with my families and friends
 Let our strength build on and on
 Reaching out to the world
 
 Stars and Crescent shine on me
 Make us more than what we can be
 All our dreams come true
 As we all grow stronger
 
 Stars and Crescent shine on me
 Turning our hopes, into reality
 For we will always be
 Shining as one
 
 Let our hopes lead us afar
 Into the world, to be the best
 There's so much to reach out for
 Stars and Crescent shining on
 
 In my heart lies my homeland
 I share this joy with my families and friends
 Stepping out into a New World
 As we make our choices
 
 Repeat x2 Chorus 1 & 2",Song about millenium. It’s somehow saying that Singapore can make our dreams become a reality. 
2001,Where I Belong,Ken Lim,Ken Lim,Tanya Chua,0u0a0p4hWefiy09bYqzZ2A,https://www.youtube.com/watch?v=jUf-5W6AKes,"Morning comes around and I
 Can't wait to see my sunny island
 In its glorious greenery, whether rain or shine, it's still beautiful
 Bright lights shine on the streets at night
 Guiding me closer to home
 To a place where I'll be safe and warm, where I belong
 
 Friends and families by my side
 Seeing me through as I grow and learn
 Every day's experience, bitter sweet or sour
 They're still wonderful
 As they become precious memories
 They'll be kept close to my heart
 And no matter where I am I will always know, where I belong
 
 Where I belong, where I keep my heart and soul
 Where dreams come true for us
 Where we walk together hand in hand towards a future so bright
 Where I belong, where I keep my heart and soul
 Where we're one big family
 I want the whole world to know, I want to shout it out loud
 That this is where I know I belong
 
 I want the whole world to know, I want to shout it out loud
 That this is where I know I belong",less overtly nationalistic. This been imbued with a pop sensibility so as to appeal to the younger generation. the lyrics do not even mention the word “Singapore”
2002,We Will Get There,Dick Lee,Dick Lee,Stefanie Sun,5aY2Igd9adKu3AqY1w95Xm,https://www.youtube.com/watch?v=kD31os2SwUM,"Remember the days, we set out together with faith?
 Remember the times, so fine, when we thought that
 Nothing could stand in our way?
 
 Then things weren't the same
 The life that we knew had to change
 We've struggled through, the darkest storms
 We thought we couldn't tame
 
 Together we've tried, as we stood side by side
 I knew we'd build a new world
 A world of hope for ever after
 
 Deep in my heart I just know
 Right from the start, we will grow
 Look where we are, we've come so far
 And there's still a long, long way to go
 
 With all of my heart, I will care
 I'll play my part, I will share
 With family and friends, together we'll stand
 And in the end, hand in hand
 We will get there
 
 So now we begin, working together to win
 Believing in trust, it must
 Be possible to overcome anything
 
 There's so much to do, there's so much we can contribute
 By sharing just a little love
 We will start again anew
 
 So why don't we try? If we stand side by side
 I know we'll build a new world
 A world of hope for ever after
 
 Repeat Chorus 1&2 twice","little edgier than the past few songs and is forward-looking, which was the exact direction Singapore was headed to."
2003,One United People,Joshua Wan,Joshua Wan,Stefanie Sun,2h5gMUxXk3OBfOX9KS5hiX,https://youtu.be/reMGT286ix8,"One Singapore
 One people strong and free
 With One heart
 One voice
 We make our history
 We are a Rainbow of a thousand colours
 Lighting up the sky
 We share the Singapore heartbeat
 Together you and I, we are
 
 One Singapore
 One Nation strong and free
 A thousand different voices
 Sing in harmony
 We will stand together
 Together hand in hand
 As One united people
 For Singapore, my homeland
 
 My Singapore
 Our Island in the sun
 This is my homeland
 It's where my strength is from
 A rainbow of a thousand colours
 Lighting up the sky
 We build a brighter future
 Together you and I, we are
 
 One Singapore
 One Nation strong and free
 A thousand different voices
 Sing in harmony
 We will stand together
 Together hand in hand
 As One united people
 For Singapore (Singapore)
 
 One Singapore
 One Nation strong and free
 A thousand different voices
 Sing in harmony
 We will stand together
 Together hand in hand
 As One united people
 One united people
 One united people
 For Singapore, my homeland",
