year,title,composer,writer,singer,lyrics
1984,Stand Up for Singapore,Hugh Harrison,Hugh Harrison,,"Stand up for Singapore, do the best you can
Reach out for your fellow man
You've got to make a stand
Recognise you can play your part
Let it come right from your heart
Be prepared to give a little more
Stand up, stand up for Singapore
 
Stand up for Singapore, do it with a smile
If you stand up for Singapore
You'll find it all worthwhile
Believe in yourself, you've got something to share
So show us all you really care
Be prepared to give a little more
Stand up, stand up for Singapore
 
Singapore our home and nation
Together with determination
Join in like we've never done before
Stand up, stand up for Singapore"
1986,"Count on Me, Singapore",Hugh Harrison,Hugh Harrison,Clement Chow,"We have a vision for tomorrow, just believe, just believe
 We have a goal for Singapore, we can achieve, we can achieve
 You and me, we'll do our part, stand together, heart to heart
 We're going to show the world what Singapore can be
 We can achieve, we can achieve
 
 There is something down the road that we can strive for
 We are told no dream's too bold that we can't try for
 There's a spirit in the air, it's a feeling we all share
 We're going to build a better life, for you and me
 We can achieve, we can achieve
 
 Count on me Singapore, count on me to give my best and more
 You and me, we'll do our part, stand together, heart to heart
 We're going to show the world what Singapore can be
 We can achieve, we can achieve
 Count on me Singapore, Count on me Singapore
 Count on me to give my best and more, count on me Singapore
 
 Together Singapore Singapore"
1987,We are Singapore,Hugh Harrison,Hugh Harrison,"Jonathan Tan Teck Meng, Roslinda Baharudin, Robert Fernando and Anne Weerapass","There was a time when people said
That Singapore won't make it, but we did
There was a time when troubles seemed too much
For us to take, but we did
We built a nation, strong and free, reaching out together
For peace and harmony

This is my country, this is my flag
This is my future, this is my life
This is my family, these are my friends
We are Singapore, Singaporeans
Singapore our homeland, it's here that we belong
All of us united, one people marching on
We've come so far together, our common destiny
Singapore forever, a nation strong and free

We the citizens of Singapore
Pledge ourselves as one united people
Regardless of race, language or religion
To build a democratic society
Based on justice and equality
So as to achieve happiness
Prosperity and progress for our nation

We are Singapore, we are Singapore
We will stand together, hear the lion roar
We are Singapore, we are Singapore
We're a nation strong and free forevermore

We are Singapore, Singaporeans "
1990,"One People, One Nation, One Singapore",Jeremy Monteiro,Jim Aitchison,,"We've built a nation with our hands
 The toil of people from a dozen lands
 Strangers when we first began, now we're Singaporean
 Let's reach out for Singapore, join our hands forevermore
 
One people, one nation, one Singapore That's the way that we will be forever more Every creed and every race, has its role and has its place One people, one nation, one Singapore And when the time comes for the test Our vigilance will never rest We'll be united, hand in hand We'll show the world just where we stand And reach out for Singapore, join our hands forever more"
1998,Home,Dick Lee,Dick Lee,Kit Chan,"Whenever I am feeling low
 I look around me and I know
 There's a place that will stay within me
 Wherever I may choose to go
 I will always recall the city
 Know every street and shore
 Sail down the river which brings us life
 Winding through my Singapore
 
 This is home truly, where I know I must be Where my dreams wait for me, where that river always flows This is home surely, as my senses tell me This is where I won't be alone, for this is where I know it's home When there are troubles to go through We'll find a way to start anew There is comfort in the knowledge That home's about its people too So we'll build our dreams together Just like we've done before Just like the river which brings us life There'll always be Singapore For this is where I know it's home For this is where I know I'm home"
1999,Together,Ken Lim,Ken Lim,Evelyn Tan and Dreamz FM,"Let us be together aspire to achieve
 No matter what, no matter when, working hand in hand
 Let us go the distance, reach for goals that shine
 Creating our future, with everyone in mind
 
 Together we make a difference, one voice, one destiny
 We remain undivided, our hearts in harmony
 Together we make a difference, our friends, our families
 We will share a special dream, together we feel the Singapore heartbeat
 
 Let us find in our strides, new strength to go on by
 Nothing is ever easy, we have to hold on and strive
 Let us never be afraid, if we have to change our ways
 Through the years, we'll always stay, one in every way
 
 We will share a special dream
 Together we feel the Singapore heartbeat
 Singapore heartbeat"
2000,Shine on Me,Jim Lim,Jim Lim,Mavis Hee and Jai Wahab,"The moment when I was born
 Into this world, into my home
 I recall when I was young
 Stars and Crescent shine on me
 
 In my heart lies my homeland
 I share this joy with my families and friends
 Let our strength build on and on
 Reaching out to the world
 
 Stars and Crescent shine on me
 Make us more than what we can be
 All our dreams come true
 As we all grow stronger
 
 Stars and Crescent shine on me
 Turning our hopes, into reality
 For we will always be
 Shining as one
 
 Let our hopes lead us afar
 Into the world, to be the best
 There's so much to reach out for
 Stars and Crescent shining on
 
 In my heart lies my homeland
 I share this joy with my families and friends
 Stepping out into a New World
 As we make our choices"
2001,Where I Belong,Ken Lim,Ken Lim,Tanya Chua,"Morning comes around and I
 Can't wait to see my sunny island
 In its glorious greenery, whether rain or shine, it's still beautiful
 Bright lights shine on the streets at night
 Guiding me closer to home
 To a place where I'll be safe and warm, where I belong
 
 Friends and families by my side
 Seeing me through as I grow and learn
 Every day's experience, bitter sweet or sour
 They're still wonderful
 As they become precious memories
 They'll be kept close to my heart
 And no matter where I am I will always know, where I belong
 
 Where I belong, where I keep my heart and soul
 Where dreams come true for us
 Where we walk together hand in hand towards a future so bright
 Where I belong, where I keep my heart and soul
 Where we're one big family
 I want the whole world to know, I want to shout it out loud
 That this is where I know I belong
 
 I want the whole world to know, I want to shout it out loud
 That this is where I know I belong"
2002,We Will Get There,Dick Lee,Dick Lee,Stefanie Sun,"Remember the days, we set out together with faith?
 Remember the times, so fine, when we thought that
 Nothing could stand in our way?
 
 Then things weren't the same
 The life that we knew had to change
 We've struggled through, the darkest storms
 We thought we couldn't tame
 
 Together we've tried, as we stood side by side
 I knew we'd build a new world
 A world of hope for ever after
 
 Deep in my heart I just know
 Right from the start, we will grow
 Look where we are, we've come so far
 And there's still a long, long way to go
 
 With all of my heart, I will care
 I'll play my part, I will share
 With family and friends, together we'll stand
 And in the end, hand in hand
 We will get there
 
 So now we begin, working together to win
 Believing in trust, it must
 Be possible to overcome anything
 
 There's so much to do, there's so much we can contribute
 By sharing just a little love
 We will start again anew
 
 So why don't we try? If we stand side by side
 I know we'll build a new world
 A world of hope for ever after"
2003,One United People,Joshua Wan,Joshua Wan,Stefanie Sun,"One Singapore
 One people strong and free
 With One heart
 One voice
 We make our history
 We are a Rainbow of a thousand colours
 Lighting up the sky
 We share the Singapore heartbeat
 Together you and I, we are
 
 One Singapore
 One Nation strong and free
 A thousand different voices
 Sing in harmony
 We will stand together
 Together hand in hand
 As One united people
 For Singapore, my homeland
 
 My Singapore
 Our Island in the sun
 This is my homeland
 It's where my strength is from
 A rainbow of a thousand colours
 Lighting up the sky
 We build a brighter future
 Together you and I, we are
 
 One Singapore
 One Nation strong and free
 A thousand different voices
 Sing in harmony
 We will stand together
 Together hand in hand
 As One united people
 For Singapore (Singapore)
 
 One Singapore
 One Nation strong and free
 A thousand different voices
 Sing in harmony
 We will stand together
 Together hand in hand
 As One united people
 One united people
 One united people
 For Singapore, my homeland"
